code,trade_date,label,position_20d,trailing_10,trailing_5,pct_chg_std_10d,pct_chg_std_5d,limit_up_count_20d,limit_up_count_60d,avg_amount_5d,pct_chg_score_day,turnover_rate,volume_ratio,circ_mv,pe,pb
001896.SZ,20260519,1,0.0429447852760738,-0.13053750738334313,-0.12433075550267692,5.578507995701001,4.949919837169083,0,0,3284521673.0,-3.0941,7.3805,0.55,2245950.1178,57.5355,6.3032
603067.SH,20260519,1,0.6416772554002543,0.10182841068917026,-0.02270459081836318,3.876585932492662,1.9832317605363223,0,0,1278216986.4,-0.7349,4.1309,0.99,2959393.0075,44.9049,7.0142
603608.SH,20260519,1,0.9473684210526314,0.17986164488854728,0.07946554149085783,3.554751202334701,3.664443024198903,0,0,466866064.1999999,8.4806,14.0889,2.25,644295.0378,443.7629,5.8862
000600.SZ,20260519,1,0.6170212765957453,0.011247443762781417,-0.008024072216649913,1.7724749539556264,1.3209511461064714,0,0,603204837.1999999,1.6444,3.2584,0.58,1078060.3164,9.4936,1.4291
600563.SH,20260519,1,0.8265739667825421,0.16475694444444455,0.04257964257964275,2.4586994988408,2.6848372953309476,0,0,1096061749.8,0.1568,2.8997,0.69,3019050.0,25.3238,4.794
600246.SH,20260519,1,0.7448747152619591,0.23414634146341462,-0.018619084561675714,4.5957384507933,4.219095095681063,0,0,1845169898.9999998,-4.9587,7.1937,0.96,2391371.7821,999.0,5.3806
001326.SZ,20260519,1,0.9230769230769228,0.044987601842012115,0.013745704467353903,2.4592258842164134,1.4838044623197493,0,0,68173707.60000001,1.3746,5.7307,1.16,142209.6411,170.4459,3.494
605218.SH,20260519,1,1.0,0.09756097560975618,0.04651162790697683,4.669333835398793,4.537444320936621,0,0,74913130.8,10.0057,3.5026,1.94,411832.7451,211.6667,2.6489
002421.SZ,20260519,1,1.0,0.2652329749103941,0.16501650165016502,4.359859232601438,5.866994649733371,0,0,485327318.6,9.9688,17.0516,3.48,707192.1467,999.0,2.7566
000636.SZ,20260519,1,0.915938864628821,0.16416139240506333,0.03408292340126495,4.670346906826087,5.09160815342265,0,0,2840388472.3999996,9.0,10.389,1.35,3405089.5857,120.1867,2.7278
002893.SZ,20260519,1,0.7586206896551728,0.04147465437788034,0.03196347031963476,2.042143546399224,2.7142913476633272,0,0,191156162.4,2.9144,9.4785,1.26,229139.8383,47.8353,2.1172
